label,source,HH_PD,HV_PD,VV_PD,VH_PD,HH_PF,HV_PF,VV_PF,VH_PF
1,19931107_135603_starea,0.9999427786678874,0.9999809262226291,0.9978065156023499,1.0,0.0003128099488822767,0.00022125581750209812,0.0032654306858930344,0.0004119935912108034
2,19931107_141630_starea,1.0,1.0,1.0,1.0,0.0,0.0001373311970702678,3.8147554741741054e-05,9.918364232852674e-05
3,19931107_145028_starea,1.0,0.9999745682968388,0.9999745682968388,1.0,0.00013871838087905838,0.00043002698072508097,0.00020114165227463465,0.0003745396283734576
4,19931108_213827_starea,0.9999491365936777,1.0,1.0,1.0,0.00034679595219764593,6.935919043952919e-06,0.000256629004626258,3.4679595219764594e-05
5,19931108_220902_starea,0.9999491365936777,1.0,1.0,1.0,0.008170512633776538,0.0070538296677001185,0.013962005035477227,0.008565860019281855
6,19931109_191449_starea,0.9990590269830371,0.9998728414841942,0.9995676610462603,0.9999237048905165,0.012560949388598737,0.005805364239788593,0.015952613801091715,0.006138288353898333
7,19931109_202217_starea,0.9985885404745556,0.9997329671168078,0.9988746471351186,0.9998855573357748,0.004028381780727856,0.001594567788204776,0.006752117189288167,0.0015259021896696422
8,19931110_001635_starea,0.999256122682536,0.9997138933394369,0.9986076142519265,0.9997520408941787,0.0028686961165789275,0.0018234531166552224,0.007232776379034104,0.0019226367589837492
9,19931111_163625_starea,0.9999427786678874,0.9999618524452583,0.99956130312047,0.9999618524452583,0.00035858701457236594,0.0003433279926756695,0.0018616006713969636,0.00038147554741741054
10,19931118_023604_stareC0000,0.9997138933394369,0.9999427786678874,0.9997711146715496,0.9998664835584039,0.0008926527809567406,0.0007019150072480354,0.0009308003356984818,0.0006561379415579462
11,19931118_035737_stareC0000,0.9998626688029297,1.0,0.9999389639124132,0.9999847409781033,0.00012715851580580352,4.238617193526784e-05,0.00039843001619151766,4.238617193526784e-05
12,19931118_162155_stareC0000,1.0,0.9999809262226291,0.9999809262226291,1.0,3.8147554741741054e-05,0.00010681315327687495,0.000503547722590982,7.629510948348211e-05
13,19931118_162658_stareC0000,1.0,1.0,0.9999809262226291,1.0,6.86655985351339e-05,3.0518043793392844e-05,0.0002746623941405356,5.3406576638437476e-05
14,19931118_174259_stareC0000,1.0,1.0,0.9999809262226291,0.9999809262226291,1.5259021896696422e-05,7.629510948348211e-06,0.00019073777370870527,2.2888532845044633e-05
