label,source,polarization,paper_STGNN_PD_digitized_approx,ours_New_SFE_TFE_PD,delta_PD_ours_minus_paper,ours_PF
1,19931107_135603_starea,HH,0.992,0.9999427786678874,0.007942778667887396,0.0003128099488822767
1,19931107_135603_starea,HV,1.0,0.9999809262226291,-1.907377737087046e-05,0.00022125581750209812
1,19931107_135603_starea,VV,0.746,0.9978065156023499,0.2518065156023499,0.0032654306858930344
1,19931107_135603_starea,VH,0.985,1.0,0.015000000000000013,0.0004119935912108034
2,19931107_141630_starea,HH,0.996,1.0,0.0040000000000000036,0.0
2,19931107_141630_starea,HV,0.992,1.0,0.008000000000000007,0.0001373311970702678
2,19931107_141630_starea,VV,0.966,1.0,0.03400000000000003,3.8147554741741054e-05
2,19931107_141630_starea,VH,1.0,1.0,0.0,9.918364232852674e-05
3,19931107_145028_starea,HH,1.0,1.0,0.0,0.00013871838087905838
3,19931107_145028_starea,HV,1.0,0.9999745682968388,-2.5431703161160613e-05,0.00043002698072508097
3,19931107_145028_starea,VV,0.776,0.9999745682968388,0.22397456829683882,0.00020114165227463465
3,19931107_145028_starea,VH,0.993,1.0,0.007000000000000006,0.0003745396283734576
4,19931108_213827_starea,HH,1.0,0.9999491365936777,-5.0863406322321225e-05,0.00034679595219764593
4,19931108_213827_starea,HV,0.996,1.0,0.0040000000000000036,6.935919043952919e-06
4,19931108_213827_starea,VV,0.978,1.0,0.02200000000000002,0.000256629004626258
4,19931108_213827_starea,VH,0.925,1.0,0.07499999999999996,3.4679595219764594e-05
5,19931108_220902_starea,HH,0.925,0.9999491365936777,0.07494913659367763,0.008170512633776538
5,19931108_220902_starea,HV,0.97,1.0,0.030000000000000027,0.0070538296677001185
5,19931108_220902_starea,VV,0.955,1.0,0.04500000000000004,0.013962005035477227
5,19931108_220902_starea,VH,0.963,1.0,0.03700000000000003,0.008565860019281855
6,19931109_191449_starea,HH,0.692,0.9990590269830371,0.3070590269830371,0.012560949388598737
6,19931109_191449_starea,HV,0.782,0.9998728414841942,0.21787284148419417,0.005805364239788593
6,19931109_191449_starea,VV,0.769,0.9995676610462603,0.23056766104626025,0.015952613801091715
6,19931109_191449_starea,VH,0.791,0.9999237048905165,0.20892370489051648,0.006138288353898333
7,19931109_202217_starea,HH,0.932,0.9985885404745556,0.06658854047455554,0.004028381780727856
7,19931109_202217_starea,HV,0.955,0.9997329671168078,0.044732967116807854,0.001594567788204776
7,19931109_202217_starea,VV,0.94,0.9988746471351186,0.058874647135118696,0.006752117189288167
7,19931109_202217_starea,VH,0.951,0.9998855573357748,0.04888555733577482,0.0015259021896696422
8,19931110_001635_starea,HH,0.962,0.999256122682536,0.037256122682536086,0.0028686961165789275
8,19931110_001635_starea,HV,0.985,0.9997138933394369,0.014713893339436956,0.0018234531166552224
8,19931110_001635_starea,VV,0.978,0.9986076142519265,0.020607614251926476,0.007232776379034104
8,19931110_001635_starea,VH,0.97,0.9997520408941787,0.02975204089417871,0.0019226367589837492
9,19931111_163625_starea,HH,0.992,0.9999427786678874,0.007942778667887396,0.00035858701457236594
9,19931111_163625_starea,HV,1.0,0.9999618524452583,-3.814755474174092e-05,0.0003433279926756695
9,19931111_163625_starea,VV,0.985,0.99956130312047,0.014561303120469993,0.0018616006713969636
9,19931111_163625_starea,VH,0.993,0.9999618524452583,0.006961852445258265,0.00038147554741741054
10,19931118_023604_stareC0000,HH,0.94,0.9997138933394369,0.059713893339436996,0.0008926527809567406
10,19931118_023604_stareC0000,HV,0.944,0.9999427786678874,0.05594277866788744,0.0007019150072480354
10,19931118_023604_stareC0000,VV,0.933,0.9997711146715496,0.0667711146715495,0.0009308003356984818
10,19931118_023604_stareC0000,VH,0.918,0.9998664835584039,0.08186648355840387,0.0006561379415579462
11,19931118_035737_stareC0000,HH,0.992,0.9998626688029297,0.00786266880292974,0.00012715851580580352
11,19931118_035737_stareC0000,HV,0.992,1.0,0.008000000000000007,4.238617193526784e-05
11,19931118_035737_stareC0000,VV,1.0,0.9999389639124132,-6.103608758678547e-05,0.00039843001619151766
11,19931118_035737_stareC0000,VH,0.996,0.9999847409781033,0.003984740978103307,4.238617193526784e-05
12,19931118_162155_stareC0000,HH,0.865,1.0,0.135,3.8147554741741054e-05
12,19931118_162155_stareC0000,HV,0.917,0.9999809262226291,0.08298092622262909,0.00010681315327687495
12,19931118_162155_stareC0000,VV,0.649,0.9999809262226291,0.3509809262226291,0.000503547722590982
12,19931118_162155_stareC0000,VH,0.91,1.0,0.08999999999999997,7.629510948348211e-05
13,19931118_162658_stareC0000,HH,0.985,1.0,0.015000000000000013,6.86655985351339e-05
13,19931118_162658_stareC0000,HV,0.985,1.0,0.015000000000000013,3.0518043793392844e-05
13,19931118_162658_stareC0000,VV,0.993,0.9999809262226291,0.006980926222629136,0.0002746623941405356
13,19931118_162658_stareC0000,VH,0.996,1.0,0.0040000000000000036,5.3406576638437476e-05
14,19931118_174259_stareC0000,HH,0.989,1.0,0.01100000000000001,1.5259021896696422e-05
14,19931118_174259_stareC0000,HV,0.985,1.0,0.015000000000000013,7.629510948348211e-06
14,19931118_174259_stareC0000,VV,0.978,0.9999809262226291,0.02198092622262915,0.00019073777370870527
14,19931118_174259_stareC0000,VH,0.996,0.9999809262226291,0.003980926222629133,2.2888532845044633e-05
